fips,pop2014
13235,11693.0
13237,21226.0
13239,2407.0
13241,16267.0
13243,7411.0
13245,201244.0
13247,86256.0
13249,5054.0
13251,14281.0
13253,8804.0
13255,63946.0
13257,25741.0
13259,5900.0
13261,31804.0
13263,6594.0
13265,1700.0
13267,25356.0
13269,8505.0
13271,16493.0
13273,9304.0
13275,44733.0
13277,40721.0
13279,27272.0
13281,10670.0
13283,6781.0
13285,68375.0
13287,8491.0
13289,8612.0
13291,21553.0
13293,26681.0
13295,68445.0
13297,85378.0
13299,35915.0
13301,5626.0
13303,20861.0
13305,30170.0
13307,2744.0
13309,7932.0
13311,27594.0
13313,103132.0
13315,9061.0
13317,10123.0
13319,9455.0
13321,21365.0
15001,189382.0
15003,975690.0
15005,73.0
15007,68745.0
15009,158814.0
16001,409239.0
16003,3908.0
16005,83394.0
16007,5941.0
16009,9149.0
16011,45558.0
16013,21269.0
16015,6880.0
16017,40899.0
16019,106703.0
16021,10903.0
16023,2734.0
16025,1156.0
16027,195353.0
16029,6857.0
16031,23275.0
16033,823.0
16035,8600.0
16037,4284.0
16039,26349.0
16041,12853.0
16043,13024.0
16045,16732.0
16047,15241.0
16049,16315.0
16051,26620.0
16053,22580.0
16055,142783.0
16057,37989.0
16059,7828.0
16061,3822.0
16063,5246.0
16065,37754.0
16067,20191.0
16069,39655.0
16071,4241.0
16073,11412.0
16075,22658.0
16077,7742.0
16079,12629.0
16081,10212.0
16083,78933.0
16085,9662.0
16087,10068.0
17001,67113.0
17003,7821.0
17005,17571.0
17007,54005.0
17009,6878.0
17011,34361.0
17013,5033.0
17015,15027.0
17017,13440.0
17019,204214.0
17021,34415.0
17023,16240.0
17025,13675.0
17027,37952.0
17029,53655.0
17031,5227827.0
17033,19626.0
17035,10950.0
17037,104919.0
17039,16461.0
17041,19867.0
17043,926485.0
17045,18171.0
17047,6687.0
17049,34280.0
17051,22041.0
17053,13906.0
17055,39774.0
17057,36616.0
17059,5439.0
17061,13677.0
17063,50173.0
17065,8371.0
17067,18808.0
17069,4226.0
17071,7074.0
17073,50031.0
17075,29272.0
17077,60125.0
17079,9658.0
17081,38716.0
17083,22751.0
17085,22427.0
17087,12650.0
17089,521874.0
17091,112682.0
17093,118194.0
17095,52447.0
17097,703170.0
17099,112698.0
17101,16726.0
17103,35248.0
17105,38476.0
17107,30047.0
17109,32388.0
17111,307888.0
17113,172390.0
17115,109833.0
17117,47229.0
17119,267937.0
17121,38922.0
17123,12319.0
17125,14309.0
17127,15148.0
17129,12658.0
17131,16204.0
17133,33373.0
17135,29740.0
17137,35272.0
17139,14896.0
17141,52782.0
17143,187197.0
17145,22034.0
17147,16552.0
17149,16244.0
17151,4362.0
17153,5967.0
17155,5895.0
17157,33091.0
17159,16144.0
17161,146964.0
17163,268415.0
17165,24876.0
17167,198808.0
17169,7454.0
17171,5260.0
17173,22216.0
17175,5888.0
17177,47053.0
17179,135872.0
17181,17620.0
17183,80773.0
17185,11730.0
17187,17784.0
17189,14527.0
17191,16627.0
17193,14549.0
17195,57680.0
17197,682108.0
17199,66808.0
17201,292026.0
17203,38965.0
18001,34533.0
18003,360990.0
18005,78628.0
18007,8810.0
18009,12576.0
18011,59246.0
18013,15074.0
18015,20068.0
18017,38730.0
18019,112212.0
18021,26797.0
18023,32987.0
18025,10646.0
18027,32156.0
18029,49840.0
18031,26112.0
18033,42321.0
18035,117441.0
18037,42170.0
18039,199544.0
18041,23955.0
18043,75431.0
18045,17002.0
18047,22980.0
18049,20638.0
18051,33586.0
18053,69313.0
18055,32978.0
18057,289722.0
18059,70851.0
18061,39216.0
18063,150977.0
18065,49227.0
18067,82914.0
18069,36959.0
18071,43127.0
18073,33443.0
18075,21279.0
18077,32447.0
18079,28223.0
18081,143789.0
18083,38181.0
18085,77790.0
18087,37759.0
18089,493140.0
18091,111293.0
18093,45970.0
18095,130688.0
18097,919336.0
18099,47032.0
18101,10294.0
18103,36394.0
18105,141101.0
18107,38183.0
18109,69343.0
18111,14140.0
18113,47497.0
18115,6073.0
18117,19756.0
18119,21321.0
18121,17200.0
18123,19452.0
18125,12733.0
18127,165819.0
18129,25641.0
18131,13130.0
18133,37728.0
18135,25801.0
18137,28601.0
18139,17147.0
18141,266916.0
18143,23897.0
18145,44428.0
18147,20893.0
18149,23215.0
18151,34190.0
18153,21227.0
18155,10514.0
18157,178135.0
18159,15688.0
18161,7382.0
18163,180877.0
18165,15952.0
18167,108264.0
18169,32492.0
18171,8421.0
18173,60538.0
18175,28017.0
18177,68360.0
18179,27732.0
18181,24485.0
18183,33307.0
19001,7543.0
19003,3937.0
19005,14152.0
19007,12754.0
19009,5935.0
19011,25895.0
19013,131947.0
19015,26326.0
19017,24481.0
19019,20947.0
19021,20460.0
19023,14966.0
19025,9980.0
19027,20702.0
19029,13694.0
19031,18434.0
19033,43707.0
19035,11982.0
19037,12329.0
19039,9284.0
19041,16555.0
19043,17900.0
19045,48663.0
19047,17259.0
19049,72124.0
19051,8765.0
19053,8286.0
19055,17578.0
19057,40265.0
19059,16877.0
19061,95166.0
19063,10068.0
19065,20693.0
19067,16153.0
19069,10572.0
19071,7200.0
19073,9232.0
19075,12403.0
19077,10794.0
19079,15363.0
19081,11175.0
19083,17406.0
19085,14600.0
19087,20197.0
19089,9529.0
19091,9731.0
19093,7085.0
19095,16316.0
19097,19656.0
19099,36715.0
19101,17102.0
19103,136802.0
19105,20607.0
19107,10361.0
19109,15347.0
19111,35552.0
19113,214927.0
19115,11305.0
19117,8785.0
19119,11680.0
19121,15629.0
19123,22420.0
19125,33308.0
19127,40922.0
19129,14946.0
19131,10744.0
19133,9149.0
19135,8019.0
19137,10549.0
19139,42857.0
19141,14173.0
19143,6279.0
19145,15737.0
19147,9263.0
19149,24899.0
19151,7191.0
19153,445136.0
19155,93153.0
19157,18765.0
19159,5082.0
19161,10162.0
19163,168714.0
19165,12034.0
19167,34261.0
19169,91939.0
19171,17568.0
